word1,op1,word2,op2,word3,skipgram_ns_word,skipgram_hs_word,cbow_ns_word,cbow_hs_word
brewers,+,1660s,-,volatile,49ers,1600s,vorbunker,320th
torbay,+,webster,-,merced,hoover,dennis,thedas,enabling
waned,+,sensitive,-,arm,contentious,tense,demonstrated,importantly
personas,+,literal,-,alba,relatable,stylistic,amputated,midline
180,+,britta,-,staffers,380,861,pozzobonelli,90
conversely,+,bir,-,integrals,norte,fantail,banovina,herri
rokuemon,+,dauphiné,-,malevolence,feliz,berkshire,negotiators,meds
cartesian,+,closest,-,snowfall,nearest,discard,eradicate,biggest
speedily,+,thaw,-,repudiate,motagua,evere,ambiance,laughable
stat,+,salamina,-,killer,1657,olympiakos,suetonius,schnauzers
referee,+,№,-,teetering,liberators,mle,copy,″
rationalism,+,rugrats,-,bering,thoughtful,annoying,trite,superb
wabash,+,reside,-,yoshinori,lhasa,sinai,61st,wehrmachtbericht
scarcely,+,governs,-,munch,specify,precisely,persuades,retains
manning,+,choirmaster,-,fallow,epstein,richardson,adjournment,multiplied
reminding,+,brees,-,reacquired,lulu,predeceased,painless,bushland
borgsen,+,eyesore,-,jovian,stratigeas,upbeat,philosophically,youtube
haldane,+,theropod,-,purges,altus,raphael,portman,bors
morihei,+,cuff,-,videos,phanariote,ishiyama,propithecus,badminton
duress,+,alderton,-,jobs,jahangir,beatified,hagen,kitsunetsuki
sharingan,+,communicate,-,tilt,reconcile,displeasure,ascertain,cope
anorexia,+,thighs,-,xn,stiffening,contacts,analyzes,slider
nerves,+,skyline,-,tipped,amusement,stewardship,mucosa,slices
wallpaper,+,deactivation,-,dorn,refits,breakwater,anzacs,sanatorium
impair,+,bühlmann,-,consciously,brachytherapy,reasons,engulf,rok
tattooed,+,graces,-,chbosky,overhangs,chest,concentrating,bowdon
corresponded,+,warwickshire,-,esher,clashed,cooperated,consternation,sympathize
cassettes,+,designates,-,canid,hitch,gtx,meson,syndicate
ingleside,+,1988,-,melkebeke,1990,sochi,baylor,1610
sele,+,leonidas,-,fingerprint,villiers,atwater,faber,cas
tonight,+,1749,-,indefatigable,gen,1001,barbra,jackrabbit
alexandre,+,costume,-,308,bender,lefty,stegall,nikos
vasa,+,melaleucus,-,mates,niger,walkeri,halpert,gazetted
wickham,+,mlk,-,dung,stapleton,dani,stevedores,tilt
delves,+,ackles,-,plagiarized,shack,shack,aoki,pantera
lexicon,+,vaccination,-,fond,cis,006,microcebus,supersonics
osteopath,+,intrinsically,-,checkpoint,imitative,enlightened,nebulous,aden
hewn,+,disappointment,-,fraud,projecting,projecting,rested,serapion
risks,+,vermin,-,rejuvenated,truths,ozone,knopp,censorship
skeptics,+,michael,-,biologically,danny,robinson,neferefre,diana
hanged,+,workings,-,il,liable,unusable,reacquired,auspices
coil,+,2022,-,liquefied,peg,zestiria,tesco,1103
cookies,+,boast,-,gurion,disappoint,kidding,dealbreakers,fittest
magnified,+,croatan,-,arjun,proportionate,pev,pinkerton,radiograph
showdown,+,chambersburg,-,scholar,brønnøysund,rematch,motte,mortensrud
maghreb,+,voluntarily,-,gp,peacefully,outrun,nacogdoches,corrupted
chanology,+,saturninus,-,mcru,somalian,krust,dyrrhachium,tigernach
administrators,+,mozambique,-,nationalized,newfoundland,colonisation,geneticists,madras
laid,+,shapley,-,titian,floated,flown,bestowed,knocked
unifying,+,dazzling,-,nutritional,fanciful,charming,glittering,plausible
slaveholders,+,iyad,-,informs,fingal,nidal,filefish,valentine
salvo,+,thoroughfare,-,cheapside,fatality,clubhouse,handlebar,miscarriage
boca,+,remixing,-,preshield,raton,vevo,conformational,wewak
gradual,+,summarised,-,366,unfair,advantageous,instinctively,heralded
dunder,+,rethymno,-,news,whitefriars,ferelden,mankind,vampiri
proclaimed,+,imbued,-,sedentary,proclaiming,opens,identifiable,rewarded
tyburn,+,reading,-,faa,yelling,ceasing,lecturing,cantiere
cauchy,+,ridiculousness,-,decentralized,euler,claspers,fatherland,illustration
embarrassment,+,swampy,-,lancet,incurable,incompetent,transcendent,sardonic
1677,+,gwynedd,-,memel,æthelwealh,abdication,indy,turntables
sprague,+,chanology,-,rump,orangi,876,878,schuyler
disappointingly,+,irony,-,benedict,noticeable,enjoyable,wishbone,cola
fringes,+,labrosaurus,-,ursula,substrate,brink,templars,socializing
katz,+,gonzalez,-,dakota,dre,tony,dear,infidelity
discharging,+,motif,-,spades,tear,shakedown,parlayed,executing
methode,+,steroids,-,hamra,halides,mofo,elvira,'connor
gsc,+,almeida,-,inhabitation,clément,talorgan,incubated,np
sheridan,+,1332,-,faceted,robbins,sandra,meileyingensis,alfredo
backbencher,+,wirraways,-,wica,schooners,agnew,refuelling,assembles
tees,+,petar,-,producer,philippi,nothofagus,schljakov,shouldn
melvins,+,plutonium,-,tilman,components,peridium,yodeling,katra
implosion,+,lighthearted,-,conceding,realist,essentials,diploid,industrialisation
braid,+,fitzjohn,-,seymour,tuft,tenths,göttingen,downpour
folios,+,enough,-,folie,sufficient,follicles,esq,disclose
monique,+,lyttelton,-,1207,manuela,abel,crossbolt,fondness
caldecott,+,dignities,-,restraining,murata,plush,ehrenberg,romania
mortars,+,detect,-,radek,absorb,laminations,pasupathy,maximize
subfamily,+,tees,-,510,abrolhos,suborder,nostrils,café
nullify,+,suppose,-,leaflets,understand,wish,relish,loved
isin,+,reddy,-,b.i.g,iver,simplification,unfolding,assassination
flange,+,farmers,-,region,disadvantaged,standardized,nod,compromised
prudhoe,+,dawson,-,sangatya,tennant,rodney,lerner,channelsea
ganguly,+,huehuetenango,-,line,belisarius,buckingham,calospora,strom
may,+,brainerd,-,thistle,march,alberti,braden,stuka
ukrainian,+,transmitting,-,í,socio,consumer,consortium,chancery
edict,+,seats,-,weakest,delegates,rbi,conung,tackles
desire,+,aruba,-,1761,unwillingness,refusal,quell,neighbor
paradox,+,truths,-,requiring,immortality,wording,utter,verge
willie,+,reminder,-,spindle,mentor,plague,lot,copy
madder,+,libel,-,undisturbed,lau,fennel,deposed,safer
visas,+,theseus,-,enabled,fellows,desbarats,petrov,silos
affinity,+,iajr,-,milligan,radii,hub,78th,mitigation
presumptive,+,number,-,bootx,majority,fragility,telecast,collection
salvaged,+,pine,-,tomahawk,woodlands,outcrops,exporting,derived
108,+,mukerji,-,gills,644,658,leoni,285
palmyra,+,yajurveda,-,bellingham,idealism,verbal,enquiry,ayala
ηε,+,vena,-,surveillance,tremayne,amor,825,bloch
molecule,+,sidhu,-,granary,mrna,lamarckism,mas,denotes
sugarcane,+,shipment,-,sea,cigars,shipments,disenchanted,diversification
aligned,+,masquerade,-,premature,infused,strewn,inhabiting,contrasted
awakens,+,informers,-,defendant,tethe,thongs,sakakibara,kirchner
portraits,+,particulier,-,recently,hallmarks,blending,centerpiece,sorrow
harker,+,167,-,jynx,crossbar,878,duque,basements
militaries,+,chinatown,-,exposition,trinculo,hues,ssp,voznesensky
dravidar,+,voldemort,-,cobi,trujillo,authenticity,seams,blondie
whipray,+,seydlitz,-,tackler,bayan,generalfeldmarschall,sumgait,pandey
variolation,+,believer,-,narayan,lopsided,rarity,caponier,psychopath
eurovision,+,emerson,-,626,wilco,critiqued,captivating,theme
enslavement,+,bel,-,georg,tuft,politicisation,resumption,pursuit
minigame,+,paraphernalia,-,feasible,peal,mentalist,israelites,camel
lightest,+,potent,-,gained,intrinsically,geometrically,mummy,reassuring
observing,+,waterways,-,malfunctioning,fisheries,enlarging,simulations,emphasising
cautious,+,applause,-,ramparts,anybody,careful,mp3,riddled
biscay,+,chennselaig,-,kris,brunei,coastlines,tehuantepec,religions
guitars,+,civilisation,-,arenas,melodies,naughty,ghosts,speaks
texans,+,lindisfarne,-,shamsi,romanians,worcestershire,christianisation,striggio
adultery,+,tr,-,lobectomy,husayn,coburg,complied,strings
gallons,+,hakim,-,häkkinen,pesos,_,1063,~
prerogatives,+,divorced,-,glitzy,excommunicated,strangled,lal,drank
sellout,+,reefs,-,cornea,gorge,stopping,gair,coolant
ranadev,+,diversionary,-,earners,cybèle,cybèle,tolman,wallis
pennine,+,sake,-,messier,suitability,caregiver,dreamcast,dyspanopeus
wes,+,krest,-,petits,geraldine,hayden,achanta,soca
terracing,+,publication,-,furman,sighting,discovery,eponymous,outcome
julianne,+,grantland,-,renowned,yearwood,schembechler,meru,brien
comedies,+,detracted,-,gametophyte,villains,quoting,thruway,gleaned
pike,+,sekai,-,tilson,ne,werden,gellar,qüxü
summer,+,prospered,-,nieces,winter,nagano,united,winter
1984,+,wrecked,-,reflective,1901,1875,1706,1976
tarsi,+,recommending,-,honour,readability,predicting,cooperativity,elevate
cường,+,configurations,-,minka,gauges,coronal,conscription,denon
kommando,+,1552,-,bracing,1164,beni,meantime,riverbank
tni,+,rajoelina,-,yamhad,menem,odex,affidavit,persano
provides,+,guto,-,gaming,convinces,leads,betray,produces
profitable,+,phoneme,-,rothenberg,deuterium,pev,peaked,doff
recent,+,methanol,-,pragmatic,rcs,mos,tracts,plasmas
loophole,+,downward,-,xích,rooftop,bulwark,pretext,asteroid
eddie,+,sonya,-,avenged,cam,belinda,chobaz,beryl
abelard,+,workhouse,-,thirds,playfair,corbin,cornet,metrodome
wrinkle,+,shuffling,-,ellipsoid,dilation,tumultuous,domesday,staple
spoke,+,advantage,-,morricone,accused,oath,ply,countryman
exam,+,potty,-,licked,examination,hundredth,educates,resembled
hypothetical,+,auditorium,-,acropolis,meditation,restless,nee,shirt
krabby,+,oblivion,-,mets,whimsical,splendid,lazer,miranic
madsen,+,mule,-,graphical,carmichael,dioscoreales,dumas,1460
cavanaugh,+,bălcescu,-,immunities,berger,clive,been,carlson
bartlet,+,amon,-,cabbage,rendell,dunnington,embodies,dengeki
concessional,+,blind,-,courtship,dea,begs,topographical,criticizes
haugesund,+,murphy,-,riddance,stapleton,sercey,galaţi,restorations
bibcode,+,shi,-,southborough,オブ,icao,über,الله
introns,+,obviously,-,bostock,realistically,practically,woefully,happy
fauchet,+,surveillance,-,cocktail,readied,moscoso,woollen,buxton
proven,+,wanderings,-,casterman,harmful,subtype,deserving,accused
kristy,+,attests,-,freetown,overcomes,outgrew,furred,gimmicky
snohomish,+,occurrences,-,aircrews,ullevål,flint,numismatists,antananarivo
receptacle,+,endangered,-,finder,ammodendri,sulfide,firs,saldana
workington,+,482,-,persevered,830,950,württemberg,565
kidneys,+,ringo,-,bhutan,lana,takao,blinding,goldhagen
stirk,+,ministered,-,consequence,rouse,depose,substantiate,restrict
eloquent,+,finn,-,grin,burt,alcock,arcelormittal,rolland
siegel,+,takaya,-,palestine,gervais,arjona,biodegradable,ultimatum
predicting,+,lupton,-,autograph,bitterly,insists,howat,intending
rolfe,+,kartvelian,-,accumulation,adnan,basses,minoru,cede
veidt,+,fliegerkorps,-,cataracts,paschal,alves,kemal,opponent
guideline,+,villa,-,together,hallam,smithsonian,arcades,darwish
posse,+,194a,-,defeated,saltsman,chinatown,henchman,safekeeping
vapor,+,russian,-,mileage,german,syrian,livingston,portuguese
undermined,+,rorschach,-,río,contradicted,embarrassed,picked,patented
connect,+,shiki,-,lutheran,add,deutschland,oust,contradict
alexandrine,+,salons,-,colonized,elsie,klein,ruter,handguns
colbert,+,festively,-,selma,slocum,mangan,bootx,wellek
incana,+,poti,-,commedia,feira,edessa,vini,budokan
demure,+,bosi,-,schrey,compendium,stunning,magicians,systematic
moaning,+,698,-,addictive,1165,881,polytheism,456
exploited,+,under,-,fended,discouraged,utilised,maría,damaging
senna,+,mitsoda,-,fountain,rooke,nix,ismay,hai
tarradell,+,conditioned,-,kurrle,filaments,hydrolysis,squire,profundity
boyarsky,+,contracts,-,havre,troika,concessions,gash,emphasize
soy,+,snsk,-,seaport,hugot,pavarotti,quarrelled,amounting
bequeathed,+,verge,-,sire,raises,depended,expiration,alienate
kayaks,+,apostolidès,-,pwg,exoskeleton,palladio,mughals,yorker
arlott,+,mansfield,-,wealthier,houghton,houghton,avicenna,waxy
semigroup,+,vervliet,-,randomized,daulatzai,dearly,palten,recluse
ctenophore,+,weert,-,martín,whitefish,resurfacing,liaoning,stall
gladiatorial,+,booksellers,-,occupied,sportsmanship,invitations,serrano,indy
tendencies,+,spitfire,-,demos,barbed,pod,shinoda,tamer
rescued,+,wbo,-,guiana,stowed,accosted,laoghaire,devised
reelection,+,chiropractors,-,try,investiture,deliberations,baptistry,boroughbridge
clifford,+,clayton,-,unlawful,woodward,lorraine,ad,mcmahon
wikimania,+,facto,-,minogue,pacification,première,mohegan,guerre
ultratop,+,regulament,-,dispensaries,alps,arsacid,admiralstab,alps
transformer,+,degrade,-,superieure,metabolic,reflect,resurrect,mono
guizhou,+,rochdale,-,symphonic,glamorgan,norfolk,airlanding,gc
scrutinize,+,goffman,-,familiars,tippett,fulfil,confuse,whirlpool
creighton,+,shortages,-,infrequently,watt,croat,livingston,sabha
laughing,+,vie,-,petr,forgive,thankful,assemblage,salle
dashboard,+,worried,-,spatial,scolded,flattered,janssen,categorically
keys,+,woolen,-,shipbuilders,laurel,lagoon,trimming,reversing
suzanne,+,clog,-,freya,starry,operative,radically,neo
occasional,+,myles,-,und,unresolved,extramarital,muirchertach,experimentally
lindholm,+,dnc,-,pandya,wundt,ramsour,imprisoning,boyce
kvow,+,palaearctic,-,suarez,typographic,appalling,greely,tweaks
spurred,+,archdemon,-,doses,tarnished,zipper,harem,criticizes
mid,+,shades,-,longchamp,lows,densest,megawatts,pervaded
reintroduced,+,mosquitoes,-,douglass,shadowing,deposited,afswp,kinder
neutralise,+,100,-,credibility,225,200,skøyen,400
reinforce,+,bundy,-,mustered,montalban,tippett,according,scheer
existence,+,moorish,-,geo,theravada,theravada,armada,misunderstandings
aws,+,bonnor,-,incidental,starfighter,staleys,kwaremont,ardennes
regionals,+,hinckley,-,clamped,loeb,nsac,battlestar,evan
walternate,+,dispatches,-,shodan,merrick,sita,sororities,antics
generous,+,duarte,-,electronic,widowed,distraught,eline,peron
shawn,+,swells,-,lynx,flair,eugen,sugars,epsom
amok,+,plague,-,struggles,escalator,2112,galentine,tangible
pedagogical,+,schnaubelt,-,staunch,sardonically,janine,tautiška,serbo
blacknose,+,monoxide,-,uns,sulfur,dioxide,licenses,cropping
sunnydale,+,criminal,-,33,corrupt,sociological,grisham,stray
tromsø,+,emancipation,-,'arianna,secession,aleutians,battlefields,railhead
uninjured,+,ingest,-,verdicts,inflame,pursuant,petar,legio
misleading,+,suzie,-,peregrines,stableford,grupp,glassheart,tamsin
1679,+,srinivasa,-,placebo,1771,1774,karlsson,increments
newark,+,tellico,-,hindquarters,burlington,culver,kwazulu,melbourne
trenchard,+,width,-,guinan,thickness,fourths,narrators,influx
submachine,+,jaume,-,denver,goossens,hartley,gascoigne,xerxes
ethnically,+,bascule,-,rsk,reactive,circular,m15,workin
spikes,+,j.h,-,mutants,kwame,née,o.s,palliative
offering,+,quico,-,sic,appointing,supplying,synonymy,transforms
euskadi,+,shōnagon,-,remedied,sojasun,greenedge,ayumi,1522
srpska,+,toast,-,cheirogaleus,republika,contemptuous,impression,capitalization
cropped,+,3mc,-,trident,proportioned,fleshed,virtuosity,heulog
islet,+,249,-,privatized,311,nei,mcg,227
suitor,+,sparked,-,synths,provoked,evidences,numerically,pamphlet
musings,+,filipino,-,sean,dravidian,cavalier,misuse,cellphone
newman,+,proprietary,-,celled,menzies,tyrwhitt,communiqué,pincer
gypsum,+,pea,-,stroke,vegetable,dysprosium,harford,omniscience
categorised,+,contiguous,-,imagining,disjunct,centrally,boise,sangokumusou
viscosity,+,kiska,-,milder,totenkopf,chapterhouse,justifications,lettering
southborough,+,escaped,-,euler,evacuating,disembarked,flagstaff,laden
guts,+,anhui,-,geopolitical,sled,basket,prokaryotes,hieroglyphics
ups,+,cessna,-,cheeky,gotha,238,rodd,cytoplasm
glencairn,+,timon,-,trippy,brewster,williamson,urbanisation,mahler
transcriptions,+,miserable,-,baryogenesis,livin,rebellions,followup,apostles
nebulosa,+,adheres,-,disbandment,corpuscles,prefers,relent,opining
congestion,+,alla,-,fixation,masse,craigellachie,derive,buses
censorial,+,kramer,-,pride,bechholm,catalano,webzine,devise
revolved,+,larval,-,collapse,illustrating,revolving,dimmed,revolve
hungarian,+,sneaking,-,fitch,turkish,syrian,navigating,rhetorically
expressionist,+,interpolated,-,maidens,syncretic,anagram,egotistical,kamisy
postmaster,+,malay,-,altered,commandant,peloponnese,realities,renart
castles,+,scars,-,joystick,monasteries,sightings,convalescence,disposed
superior,+,flooring,-,indiscriminate,vaults,weir,gaits,earning
appreciable,+,dissertations,-,chores,midair,dingoes,impeached,outs
pva,+,cw,-,davar,steamship,philippine,schwarzwelt,methodists
conspiratorial,+,surveys,-,biochemical,deathbed,inception,1656,horological
grantees,+,families,-,michel,emigrants,occupants,superstructure,governorate
886,+,musicals,-,jumper,327,658,076,marg
owing,+,transforming,-,596,due,enhance,amplify,tuba
marquis,+,goldeneye,-,missaukee,animator,toto,grieve,worldly
sbc,+,perched,-,released,loam,drifting,aberdeenshire,nelion
čilić,+,caudillo,-,antelope,safina,hometown,abelard,splash
wreaking,+,fairhaven,-,sunflowers,elmwood,tawas,nokomis,relegation
ecstatic,+,assumes,-,hatred,autovista,chooses,kellerman,loses
smog,+,miscommunication,-,radama,resistivity,uterus,typecast,sner
delegated,+,greek,-,explosive,malaysian,netherlandish,amended,leased
deduction,+,foreshore,-,receivers,holistic,parallelogram,sorcerers,jig
todo,+,rotating,-,253,browser,coherent,cardassian,tiempo
bilbao,+,dooku,-,safe,gilles,1710,brønnøy,penicillin
millcreek,+,professional,-,keemia,collegiate,varsity,courchevel,collegiate
competing,+,knees,-,citizen,necks,canvasses,dentistry,merges
jaworski,+,lovin,-,bharat,talkin,talkin,fraught,‍
retrieval,+,welding,-,sonics,harmonious,cheap,reclassified,atheism
hap,+,galaxies,-,poer,eukaryotes,narratives,gimmicky,discussions
authored,+,connect,-,form,addison,lippett,deploy,communicates
a9,+,failures,-,basin,mismanagement,unease,toil,seriousness
ש,+,hitchhiker,-,gushing,ס,〈,segundo,sarita
habitually,+,331,-,dianic,593,146,677,farnham
moshe,+,jeffersonville,-,nestlings,concordia,cornelius,sturluson,commute
passwords,+,herculaneum,-,magnets,corpuscles,respawn,vivek,pamela
recuperated,+,reluctance,-,goc,pretended,regretted,kuehn,realising
mca,+,honeydew,-,anita,muzzles,assonance,puebla,gorillas
poqomam,+,unavoidable,-,robberies,mihrab,aware,burgundian,archangel
coupling,+,keynes,-,volumes,uka,unmoved,jolly,dudley
oregonian,+,holden,-,trakai,christgau,homunculi,culprit,lich
showcase,+,kỳ,-,emile,symbolize,sideline,deserved,broker
divide,+,deseret,-,chopped,dominate,abuts,hindering,governs
armistice,+,slugging,-,honshu,strikeout,comeback,bulk,pais
solely,+,drooping,-,calamine,primarily,siddeley,cultivate,bordered
delights,+,eased,-,incorporated,gallia,radioactivity,smallville,petrie
akizuki,+,kuril,-,security,vinayaka,1598,duat,shakuhachi
decompressed,+,urging,-,eater,disband,evangelize,disobedience,squaring
dorn,+,allbritton,-,mosh,dibble,littleton,atholl,kanaʻina
verity,+,reemerged,-,filmography,momentarily,primal,orgasm,carlson
patches,+,masthead,-,ridley,pores,underside,grorud,beds
701,+,wba,-,travancore,welterweight,cif,'anjob,battleship
ao,+,ramsbury,-,eklund,nothofagus,bora,hippo,conspiring
stub,+,surcouf,-,knights,soule,hadid,aretusa,hoste
climbing,+,michiel,-,changeover,nags,cyndi,filkins,1000
vishnuvardhana,+,alternating,-,casino,simmering,parity,rappe,budge
rheims,+,pitching,-,weld,anfield,burnley,bodrum,enclosed
tsunami,+,homeward,-,scares,oʻahu,calligraphic,spanky,decent
troupes,+,tully,-,fodder,ignacio,motu,paused,pittsfield
sociology,+,quashed,-,caverns,modelling,renewed,tasked,genocide
apache,+,lockerbie,-,governors,ditching,wound,premarital,lastly
1932,+,budget,-,praised,1853,1740,1872,1792
rpgamer,+,post,-,revered,courier,wadsworth,mitsubishi,woodson
vafþrúðnir,+,pointedly,-,kariya,budge,lied,ibarra,ditched
cuevas,+,routines,-,157,lingerie,rite,herald,picked
wiring,+,fabrics,-,experience,embankments,eunuchs,hōgen,sterigma
deposing,+,unseat,-,pa,repudiate,diplomats,disband,meantime
beauforts,+,lechuck,-,duleep,bellerophon,ibari,impairments,tecumseh
pelted,+,jervois,-,val,denuded,hatteras,abstinence,glare
reconvened,+,bait,-,lowermost,unlucky,2019,multiplying,bats
artefact,+,fainting,-,1166,separations,shakespearean,histological,flop
breathtaking,+,latex,-,seize,curiosity,hypnotic,salamander,sadness
visitor,+,sekai,-,victories,ogbete,phi,dismisses,reeling
excise,+,suns,-,concert,mexicans,germans,airforce,lamina
fictionalized,+,checked,-,hushovd,copied,modified,thrush,dumping
loyola,+,authorizing,-,lesser,gonzaga,wesleyan,kippur,flintstones
frs1,+,peleliu,-,irv,caspian,owasco,entrainment,underside
faeces,+,academic,-,699,theology,glyph,mascot,exact
suspense,+,therapist,-,intercolonial,cute,handshake,raps,desk
clarendon,+,telescope,-,if,undersea,vale,hospodars,ampersand
435,+,stratum,-,npf6,366,922,personification,facet
darius,+,slums,-,merchantman,pottsville,reggie,gallopin,138
directions,+,agrarian,-,reparation,perspectives,constitutions,oblong,anthologies
tryout,+,spaceship,-,manatee,benchmark,gunfight,upgraded,polikarpov
summation,+,isagoras,-,discharge,takia,barnett,maximise,beneficiaries
newmarket,+,lakeland,-,wintered,southgate,brigantine,stockach,talbot
haque,+,1rar,-,depletion,jurek,loria,pilcher,keppel
malaysian,+,valverde,-,deployed,touré,judgement,suspiciously,gamepad
bolsheviks,+,when,-,zap2it,safely,skated,canvasses,rejoined
opatija,+,metamorphosed,-,legacy,seagrass,worms,midwife,greyhound
sincere,+,ewart,-,darkest,kerim,joanna,heinemann,miliband
bassoon,+,jim,-,carvings,stan,doris,ponce,pam
reptiles,+,manche,-,panky,rodents,canals,yakima,prefectures
shelves,+,prawns,-,anjouan,convertible,tyrant,trassjonsky,tana
injections,+,lancastrian,-,1566,silencing,greatness,nittany,adoption
parable,+,pleiku,-,finalists,retinal,bureaucrats,katusha,asbestos
fatality,+,validly,-,cma,satisfactorily,solved,opt,wimpy
teaches,+,roddenberry,-,mdot,rejects,remembers,pulls,invokes
economically,+,atm,-,respecting,decibels,fsw,shillings,6000
symington,+,chaloners,-,grady,rationality,nazis,councilman,thistledown
(,+,theodosius,-,stoller,·,·,c5h5,ɡ
sweetest,+,1277,-,rickey,impure,profusion,specificity,gram
bray,+,pleiku,-,sauber,lakekan,elevated,norske,bubbles
1741,+,antibiotic,-,gastric,1760,1680,1420,artillerymen
displace,+,rally,-,identities,install,compile,accumulate,olympia
consideration,+,swordsman,-,generally,reconsideration,dacoit,ramones,chaplain
racks,+,cameras,-,insides,screens,throwers,vieira,benzodiazepines
syrmia,+,pans,-,dictatorship,branched,stretched,indentured,vertebrates
stamps,+,frankie,-,simulants,mimi,alison,girlhood,popmatters
troublemaker,+,brethren,-,kohl,repository,reenactment,genie,crevice
proceeding,+,barbeyella,-,climb,tanycolagreus,archimyrmex,newall,treknation
pathogenic,+,interactive,-,leakage,licensed,achievement,kinetic,se
vanuatu,+,c,-,grew,ξ,909,spenser,jimi
narwa,+,ghastly,-,surrounding,pennsatucky,gethsemane,boyish,demented
beauvoir,+,1882,-,gelderland,1810,1927,reva,1660
punts,+,unwise,-,formbys,penalized,receptions,1.e4,ineligible
regalia,+,willimon,-,charade,dhawan,wang,burnet,hulked
thom,+,pleasant,-,dull,maynard,shenley,prakash,emeritus
suspect,+,1480,-,-ma,macnamara,celeste,mustelids,grocery
sexist,+,several,-,fosdick,many,many,reinvented,many
asiaticus,+,palms,-,bayonet,moschata,tora,florino,diademed
vesicles,+,terriers,-,dikes,tabata,mrs,grizzly,fairfax
wreaths,+,reo,-,keeps,papelotte,korçë,utrecht,grosmont
cocaine,+,revenue,-,variability,debts,pedersen,vimy,ichigo
dualshock,+,smackdown,-,outlawing,ecw,dhoom,impressively,oops
singapore,+,blatantly,-,concurred,risking,freedom,unqualified,screwattack
gillingham,+,watercolours,-,takako,northamptonshire,caved,sidi,1345
trailhead,+,hueneme,-,mateo,strobe,wrexham,frolic,tees
rubinstein,+,iconographical,-,cine,vaballathus,gage,lansdale,cosmopolitan
quong,+,lanier,-,mints,tart,jokingly,mikengreg,laurent
williamson,+,snes,-,policies,'day,ascap,symmetry,818
ptv,+,weasels,-,reentering,tags,remarkably,homewrecker,connell
howard,+,kamui,-,artefact,reggie,garry,nettles,amer
'easter,+,weir,-,759,collier,geschwaderstab,romulan,elvin
greenville,+,stile,-,kinship,whitecaps,49th,sturmbannführer,imprimerie
eclecticism,+,leftovers,-,séez,extrapolated,pronounce,salesmen,adrenaline
weirdness,+,ironic,-,approximation,racy,musically,heartbeat,quirky
owe,+,worst,-,overthrow,fucking,pretty,termed,hadn
waterfall,+,unix,-,broek,widening,exterior,pathfinders,firebird
apc,+,globemaster,-,sanjay,atm,≈,pennine,sucked
transits,+,theosophical,-,tórshavn,domestication,refraction,pantocrator,yankee
purana,+,kuyt,-,stretches,della,haywood,usmc,decibels
svaars,+,indus,-,vomiting,geelong,easternmost,chirping,mirabito
amida,+,troopships,-,sharpe,ligny,louisbourg,seventeenth,kaleidoscope
asymptomatic,+,aquarium,-,shoop,telangana,ambush,restitution,initiator
gordie,+,syme,-,miracles,kerr,waltrip,foyle,loreto
kissed,+,hope,-,unopened,confess,loved,grandpa,noticed
verde,+,competent,-,outraged,dwelling,hatteras,dignitaries,collective
withstand,+,garage,-,billy,accommodate,exert,rebuild,synchrotron
subtext,+,lung,-,anglers,cure,defining,mf,hop
endnotes,+,hostile,-,valkyria,uspantán,ecology,halong,sewerage
rebuilt,+,bounties,-,1221,taxed,contractually,booed,recommissioned
truro,+,isil,-,exceptionally,beirut,portugal,brookfield,1743
1592,+,tramway,-,amagi,qinghai,sana,encirclement,fanatics
rigel,+,heisler,-,rehearsed,toucharcade,duchess,limes,468
knack,+,canso,-,penrose,paperwork,fundraiser,bumped,mimicry
pall,+,kurds,-,advocates,leek,inconsolable,larynx,tutt
pearce,+,robins,-,aluminum,cowan,albarn,enjoys,kay
subspaces,+,nightmarish,-,yesterday,pre-,liquor,upernavik,psychopathology
loyalist,+,capitalist,-,sicily,authoritarian,fuelled,timbered,manorial
arne,+,inherited,-,beds,archibald,abel,fostered,instructed
pauline,+,writ,-,uncultivated,proclamation,truce,resilient,ripe
blur,+,virgins,-,needs,halligan,caprera,shmuel,tonbridge
sausage,+,rossdale,-,330,lefroy,flourishes,cobb,angelic
airship,+,overfishing,-,sow,airmobile,a.b,nouveau,dementia
jewels,+,disowned,-,abruptly,princesses,exploits,railing,gunnar
brenton,+,loosely,-,norm,calming,naughton,harpercollins,pago
pepe,+,pigeye,-,speer,blacknose,fieldfare,newsletter,spaniel
dying,+,endeavors,-,1753,desires,greatness,mandibles,illnesses
robotic,+,742,-,ljubljana,mash,fursuit,fuera,amassed
marching,+,79,-,capitals,76,86,cfb,114
kinzer,+,1701,-,cel,1705,rivera,kartikeya,hanes
danton,+,abelian,-,continual,lettres,7s,ophthalmologist,cie
booklist,+,abundantly,-,maryanne,flandez,strippers,outgunned,terrorists
scholastic,+,bowes,-,escaped,nihon,devolver,eucalypts,anglicus
should,+,silverware,-,martini,could,scrutiny,doubting,could
pby,+,pnt,-,flirting,engined,membered,potemkin,maxtone
summarizes,+,seminoles,-,ensign,spillways,totals,t30,astros
tokyo,+,alleviated,-,plass,nighttime,typhoons,eroding,garrisons
fordyce,+,giri,-,flu,kon,beans,bintang,aronian
ayresome,+,1673,-,phenotypes,1636,chennai,1671,reelection
lutz,+,inline,-,incompatible,adsit,nh,mispc,sussman
bhp,+,norms,-,rafale,brotherhood,bottles,prospecting,facsimiles
